CUSTCYCLE.TXT	UDDS+HWY+UDDS+US06
Test Time, secs Target Speed, mph
0 0.0
821	31.6
822	30.3
823	30.0
824	29.7
825	29.7
826	29.6
827	29.6
828	29.5
829	29.4
830	29.3
831	29.1
832	28.9
833	28.6
834	28.0
835	26.6
836	25.1
837	23.6
838	21.9
839	20.3
840	19.2
841	19.2
842	19.4
843	19.9
844	20.9
845	21.9
846	22.4
847	23.0
848	23.9
849	24.7
850	25.7
851	26.5
852	26.6
853	26.7
854	26.7
855	27.0
856	27.3
857	27.8
858	28.6
859	28.9
860	29.0
861	29.1
862	29.1
863	28.8
864	28.3
865	27.0
866	25.8
867	25.3
868	24.8
869	24.8
870	24.9
871	25.1
872	25.5
873	26.2
874	26.8
875	27.1
876	27.5
877	28.0
878	28.5
879	28.9
880	29.1
881	28.9
882	28.6
883	28.4
884	28.1
885	27.9
886	27.9
887	27.6
888	27.4
889	27.2
890	27.2
891	27.4
892	27.6
893	27.7
894	27.8
895	27.8
896	27.8
897	27.8
898	27.7
899	27.5
900	27.3
901	27.1
902	26.9
903	26.7
904	26.6
905	26.5
906	26.4
907	26.1
908	25.8
909	25.6
910	25.5
911	25.4
912	25.4
913	25.5
914	24.0
915	23.2
916	22.8
917	22.6
918	22.3
919	22.4
920	23.0
921	24.0
922	24.5
923	24.8
924	24.9
925	25.0
926	25.0
927	25.1
928	25.2
929	25.2
930	25.1
931	24.9
932	24.7
933	24.6
934	24.6
935	24.5
936	24.5
937	24.6
938	24.6
939	24.7
940	24.8
941	24.7
942	24.6
943	24.4
944	24.4
945	24.8
946	25.1
947	24.9
948	24.2
949	22.3
950	20.0
951	16.4
952	12.9
953	9.4
954	6.0
955	2.7
956	0.9
957	0.0
958	0.0
959	0.4
960	2.7
961	4.8
962	7.8
963	11.6
964	15.0
965	17.4
966	18.3
967	19.1
968	20.5
969	21.9
970	23.2
971	24.4
972	25.6
973	26.8
974	27.3
975	27.6
976	27.8
977	28.1
978	28.3
979	28.2
980	27.9
981	27.6
982	27.2
983	26.5
984	25.8
985	25.3
986	24.7
987	23.2
988	21.6
989	21.5
990	21.4
991	21.7
992	22.1
993	22.7
994	23.0
995	23.0
996	22.9
997	22.9
998	22.8
999	23.1
1000	23.5
1001	23.9
1002	24.4
1003	24.7
1004	25.1
1005	25.3
1006	25.6
1007	25.5
1008	25.2
1009	24.5
1010	24.1
1011	23.6
1012	23.1
1013	22.6
1014	21.9
1015	21.3
1016	18.7
1017	15.6
1018	12.7
1019	10.1
1020	6.7
1021	3.2
1022	1.5
1023	0.0
1024	0.0
1025	0.0
1026	0.0
1027	0.0
1028	0.0
1029	0.0
1030	0.0
1031	0.0
1032	0.0
1033	0.0
1034	0.0
1035	0.0
1036	0.0
1037	0.0
1038	0.0
1039	0.0
1040	0.0
1041	0.0
1042	0.0
1043	0.0
1044	0.0
1045	0.0
1046	0.0
1047	0.0
1048	0.0
1049	0.0
1050	0.0
1051	0.0
1052	0.0
1053	1.6
1054	5.0
1055	7.7
1056	11.0
1057	14.0
1058	16.6
1059	18.1
1060	19.4
1061	21.4
1062	22.9
1063	23.9
1064	24.4
1065	25.2
1066	26.4
1067	26.8
1068	27.1
1069	27.6
1070	28.0
1071	27.9
1072	27.6
1073	27.3
