"Time (seconds)","Speed (mph)"
1236,2.238450405
1237,1.330877976
1238,0
1239,0
1240,0
1241,0
1242,0
1243,0
1244,0
1245,0
1246,0
1247,0
1248,0
1249,0
1250,0
1251,0
1252,0
1253,0
1254,0
1255,0
1256,0
1257,0
1258,0
1259,0
1260,0
1261,0
1262,0
1263,0
1264,0
1265,0
1266,0
1267,0
1268,0
1269,0
1270,0
1271,0
1272,0
1273,2.324066569
1274,3.859495675
1275,5.269881069
1276,6.416310919
1277,7.327627883
1278,8.065481655
1279,8.691777809
1280,9.265931571
1281,9.804286993
1282,10.23157494
1283,10.42586554
1284,10.33204311
1285,9.99711077
1286,9.503639323
1287,8.885102539
1288,8.090190546
1289,7.040405041
1290,5.727806455
1291,4.237387463
1292,2.724346284
1293,1.460815895
1294,0
1295,0
1296,0
1297,2.114783412
1298,3.259566243
1299,4.05264381
1300,4.426711775
1301,4.468972052
1302,4.225260068
1303,3.720472121
1304,3.01735712
1305,2.18387893
1306,1.312112049
1307,0
1308,0
1309,0
1310,0
1311,0
1312,0
1313,0
1314,0
1315,0
1316,0
1317,1.557726935
1318,2.479372907
1319,3.203095471
1320,3.66853876
1321,3.97829369
1322,4.243287179
1323,4.537919806
1324,4.933651297
1325,5.462384091
1326,6.046639811
1327,6.539707613
1328,6.836736886
1329,6.922562081
1330,6.811159435
1331,6.458286482
1332,5.784839448
1333,4.790793108
1334,3.593936361
1335,2.367404436
1336,1.292607306
1337,0
1338,0
1339,0
1340,0
1341,0
1342,0
1343,0
1344,0
1345,0
1346,0
1347,0
1348,0
1349,0
1350,0
1351,0
1352,0
1353,0
1354,0
1355,0
1356,0
1357,0
1358,0
1359,0
1360,0
1361,0
1362,0
1363,0
1364,0
1365,0
1366,0
1367,0
1368,0
1369,0
1370,0
1371,0
1372,0
1373,0
1374,0
1375,0
1376,0
1377,0
1378,0
1379,0
1380,0
1381,0
1382,0
1383,0
1384,0
1385,0
1386,0
1387,0
1388,0
1389,0
1390,0
1391,0
1392,0
1393,0
1394,0
1395,0
1396,0
1397,0
1398,0
1399,0
1400,0
1401,0
1402,0
1403,0
1404,0
1405,0
1406,0
1407,0
1408,0
1409,0
1410,0
1411,0
1412,0
1413,0
1414,0
1415,0
1416,0
1417,0
1418,0
1419,0
1420,0
1421,0
1422,0
1423,0
1424,0
1425,0
1426,0
1427,0
1428,0
1429,0
1430,0
1431,0
1432,0
1433,0
1434,0
1435,0
1436,0
