"Time (seconds)","Speed (mph)"
2207,25.12952457
2208,26.00760382
2209,26.79480509
2210,27.54393752
2211,28.37159348
2212,29.33218407
2213,30.36734823
2214,31.36250099
2215,32.21356841
2216,32.85580857
2217,33.28382632
2218,33.56026966
2219,33.78720151
2220,34.05480248
2221,34.3927982
2222,34.75250971
2223,35.05122745
2224,35.2446675
2225,35.3513165
2226,35.41983898
2227,35.48795962
2228,35.56352429
2229,35.63360549
2230,35.68718047
2231,35.72171561
2232,35.73603062
2233,35.73444307
2234,35.7309382
2235,35.73662348
2236,35.7609107
2237,35.84928031
2238,36.10983189
2239,36.67817604
2240,37.64071998
2241,38.96961937
2242,40.52384144
2243,42.11837763
2244,43.57731945
2245,44.74380185
2246,45.51234712
2247,45.87620681
2248,45.92855463
2249,45.81809803
2250,45.68875296
2251,45.63840716
2252,45.72803635
2253,46.00511399
2254,46.48733021
2255,47.13507185
2256,47.86033872
2257,48.56448986
2258,49.18367716
2259,49.71351097
2260,50.18374936
2261,50.61165539
2262,50.9853107
2263,51.28061186
2264,51.48947876
2265,51.63425787
2266,51.7492645
2267,51.85576213
2268,51.96948213
2269,52.11830851
2270,52.33499064
2271,52.6384368
2272,53.01939017
2273,53.43287307
2274,53.80908
2275,54.08574498
2276,54.25017479
2277,54.36333078
2278,54.53007435
2279,54.82371227
2280,55.22857445
2281,55.65847889
2282,56.0375726
2283,56.35749977
2284,56.65655988
2285,56.96748791
2286,57.29139026
2287,57.59903146
2288,57.85107945
2289,58.02715012
2290,58.13806263
2291,58.21540585
2292,58.29381586
2293,58.39603917
2294,58.52864944
2295,58.68955276
2296,58.87147089
2297,59.05702724
2298,59.22366089
2299,59.35916335
2300,59.46690976
2301,59.55554967
2302,59.62928531
2303,59.69076201
2304,59.74687779
2305,59.80434867
2306,59.85792184
2307,59.87937814
2308,59.82207845
2309,59.65223185
2310,59.38273879
2311,59.07558233
2312,58.81124657
2313,58.64326683
2314,58.56680298
2315,58.53933524
2316,58.54220581
2317,58.61029942
2318,58.79667207
2319,59.11025803
2320,59.47531064
2321,59.75782488
2322,59.86062302
2323,59.79699475
2324,59.66588553
2325,59.56642468
2326,59.53359782
2327,59.53986694
2328,59.55306832
2329,59.58011079
2330,59.64595732
2331,59.7560319
2332,59.89341564
2333,60.02962629
2334,60.13585362
2335,60.20587356
2336,60.26803682
2337,60.36378377
2338,60.50900077
2339,60.67057263
2340,60.78711995
2341,60.82288406
2342,60.7947694
2343,60.73939965
2344,60.66337728
2345,60.54124018
2346,60.35720831
2347,60.12903309
2348,59.8921056
2349,59.66970575
2350,59.45135318
2351,59.20095581
2352,58.89544096
2353,58.55058326
2354,58.20845558
2355,57.91004958
2356,57.67979126
2357,57.52825469
2358,57.45959165
2359,57.46390921
2360,57.50588478
2361,57.53543021
2362,57.51288731
2363,57.42664946
2364,57.29143712
2365,57.12943999
2366,56.96070161
2367,56.81144275
2368,56.71094575
2369,56.6762178
2370,56.71036011
2371,56.80595389
2372,56.93967058
2373,57.07149339
2374,57.1559815
2375,57.16248849
2376,57.09357497
2377,56.97783494
2378,56.84139364
2379,56.69489543
2380,56.54101807
2381,56.35964594
2382,56.04599871
2383,55.37762068
2384,54.12992798
2385,52.29110677
2386,50.15534819
2387,48.18376174
2388,46.74431745
2389,45.92799241
2390,45.57362921
2391,45.43964582
2392,45.33658819
2393,45.13837106
2394,44.72397455
2395,43.96438337
2396,42.82824469
2397,41.48894961
2398,40.27632545
2399,39.50246791
2400,39.29526966
2401,39.56477894
2402,40.11676101
2403,40.76805437
2404,41.3803815
2405,41.87289969
2406,42.231166
2407,42.47869641
2408,42.62640195
2409,42.65202445
2410,42.53883243
2411,42.32452532
2412,42.08565889
2413,41.87862642
2414,41.71600941
2415,41.59103237
2416,41.50135271
2417,41.45037801
2418,41.453081
2419,41.55074707
2420,41.79618356
2421,42.20998721
2422,42.75477394
2423,43.35245449
2424,43.93567947
2425,44.48378366
2426,44.99980881
2427,45.48043207
2428,45.92801944
2429,46.36181257
2430,46.8148005
2431,47.33300246
2432,47.94973726
2433,48.65476057
2434,49.40355963
2435,50.14145485
2436,50.82514619
2437,51.44447946
2438,52.015359
2439,52.55228364
2440,53.0607026
2441,53.54393514
2442,54.00162807
2443,54.4234704
2444,54.79817267
2445,55.13354469
2446,55.45212397
2447,55.76232218
2448,56.04883684
2449,56.29403907
2450,56.50178333
2451,56.69702718
2452,56.90037098
2453,57.11391584
2454,57.33791045
2455,57.57500913
2456,57.80069039
2457,57.95382714
2458,57.98507185
2459,57.91722511
2460,57.84459048
2461,57.85983352
2462,57.97375355
2463,58.10538894
2464,58.15410034
2465,58.08019892
2466,57.92077683
2467,57.74850475
2468,57.62003185
2469,57.54656831
2470,57.50447202
2471,57.47433012
2472,57.46821597
2473,57.51425863
2474,57.61602963
2475,57.74217797
2476,57.86248785
2477,57.97575015
2478,58.08792585
2479,58.17785778
2480,58.20366228
2481,58.14345058
2482,58.02581305
